Country,Year,Code,tb_due_to_hiv,tb_due_to_alcohol,tb_due_to_smoking,tb_due_to_diabetes,tb_due_to_malnourishment,0-4,May-15,16-24 years, 25-34 years, 35-44 years, 45-54 years, 55-64 years, over 65 years
Malta,2022,MLT,,5,8,2,3,4.23657,0,21.795557,27.738111,16.115479,12.171928,3.291856,5.8812
United Arab Emirates,2022,ARE,0,1,,4,7,0.8313623,0.104498886,1.9673126,0.30493245,0.41827768,0.788439,1.1247405,7.5282454
Japan,2022,JPN,73,870,1200,380,770,0.57371193,0.15650547,4.3342834,6.3656077,3.808393,4.0927505,5.5800033,22.107193
Norway,2022,NOR,3,24,14,4,9,2.9029472,0.15814027,2.9041862,4.808803,6.5521665,2.433011,3.912428,2.5952144
Greece,2022,GRC,8,27,34,7,11,0.9503016,0.19619153,5.7715163,5.5195384,1.9231879,1.1422378,1.4819958,1.476762
Singapore,2022,SGP,100,76,260,120,,0.83596313,0.21356067,22.912132,77.1939,69.44303,40.03211,44.224026,85.23705
Oman,2022,OMN,5,3,16,26,75,0.46155265,0.2489073,8.719404,11.266377,11.7517605,12.45942,19.465284,36.434776
Ireland,2022,IRL,8,35,23,6,11,0.9996235,0.29255676,3.8321342,11.496647,5.1411104,3.8417866,5.4855604,3.945764
United States,2022,USA,700,2000,820,300,460,1.2161111,0.43735737,2.0948856,2.9582682,2.806695,2.8845015,3.181325,4.1075063
Slovenia,2022,SVN,,19,8,2,4,1.0100398,0.45158958,2.9889557,3.2561624,3.8960154,2.3025784,3.708011,8.327519
Australia,2022,AUS,38,130,100,40,76,0.98199093,0.46417254,5.436125,10.265033,6.614203,5.061346,5.554892,6.463959
Denmark,2022,DNK,6,28,17,4,12,0.63901234,0.47491348,3.4992344,5.1779118,7.6329937,4.902903,5.0654416,2.904321
South Korea,2022,KOR,210,4900,2100,780,1100,0.38621917,0.4952259,7.9866524,16.644094,19.331268,27.961533,43.67232,124.68037
Trinidad and Tobago,2022,TTO,42,36,,15,39,3.3134892,0.49736398,14.302133,24.555105,22.703335,25.170284,31.6635,14.746167
Finland,2022,FIN,3,36,19,5,11,2.0976145,0.49807245,3.4458542,5.3743443,2.9439886,2.4218242,2.9167073,7.289088
Jamaica,2022,JAM,14,9,4,4,11,1.2086929,0.50571716,1.7122152,4.794903,3.839075,4.9143176,2.872944,3.7982917
Israel,2022,ISR,5,24,21,6,12,2.2600963,0.54477406,1.0979439,3.343875,4.763917,2.977914,2.4228914,4.31725
Switzerland,2022,CHE,18,67,47,7,20,2.9836702,0.5685501,9.028132,5.0917945,4.926944,4.2989225,4.747036,4.029104
Cuba,2022,CUB,50,95,66,29,38,0.9309271,0.5711791,4.420142,8.138344,7.547966,8.778114,9.179939,6.9392805
Albania,2022,ALB,4,51,48,15,34,4.2999654,0.6261741,15.377959,15.728216,11.923006,15.5069475,14.389968,29.995584
Hungary,2022,HUN,5,78,36,9,26,0,0.6274956,2.9283247,3.610369,3.9098182,6.196779,8.483637,8.322746
Mauritius,2022,MUS,24,17,15,9,23,0,0.6859228,6.94259,18.403778,16.782747,14.9165535,17.86929,10.827458
Czechia,2022,CZE,3,42,51,12,22,0.7379379,0.70671314,2.019386,4.4986787,6.1261454,5.7100086,5.4996986,4.2468214
Netherlands,2022,NLD,23,23,76,14,37,1.259368,0.70814586,5.358054,6.9835253,6.479787,4.3662944,3.6596494,2.6624935
Cyprus,2022,CYP,2,8,9,1,5,1.520242,0.7486543,28.741066,18.145618,5.4387975,5.870026,0.6899026,2.694096
Saudi Arabia,2022,SAU,20,20,190,230,220,0.81844985,0.82931834,8.971721,15.200653,9.06936,7.45662,10.79656,24.336823
Poland,2022,POL,64,1000,540,170,240,0.71294856,0.83437854,4.4588437,9.099766,12.869201,17.675167,20.22936,14.739049
Jordan,2022,JOR,0,3,62,29,110,1.3409263,0.90575755,2.6958928,5.9134264,5.5792103,4.5894885,6.338901,9.464189
New Zealand,2022,NZL,5,24,20,9,16,2.555494,0.9134909,2.5629427,10.691463,10.346549,5.236586,4.8126903,7.21348
Suriname,2022,SUR,32,23,,10,27,1.8377961,0.9276954,20.313568,26.40264,46.891346,67.46121,54.74227,21.88088
Kuwait,2022,KWT,2,4,46,44,28,1.231608,0.936448,4.881212,33.24379,13.744654,15.034457,12.208256,14.2513075
Sweden,2022,SWE,8,77,31,9,21,1.6947688,1.02636,5.431159,5.134971,5.4014153,3.7814245,3.6979306,3.7450693
Qatar,2022,QAT,6,6,54,85,,0,1.0475372,45.85218,53.620216,38.702244,39.792202,30.993689,26.839743
Austria,2022,AUT,8,80,48,7,20,1.1718357,1.0481399,6.3801537,5.9410596,4.502225,4.53098,3.4794421,4.9698644
Costa Rica,2022,CRI,31,69,24,21,36,2.497939,1.1023536,6.4462996,12.954754,13.314009,11.148716,15.649199,16.402855
High-income countries,2022,,3660,14174,10643,3662,5890,1.9711407,1.1497642,6.373098,9.936127,8.948433,9.205651,9.707715,14.929681
Italy,2022,ITA,150,77,300,73,140,1.0918653,1.2041246,7.6032186,8.620131,6.0983133,4.601404,3.1957383,3.4505525
United Kingdom,2022,GBR,190,820,400,140,270,1.2102073,1.2866442,7.830734,13.569364,11.804754,9.185561,6.8054347,5.6408195
Canada,2022,CAN,84,320,140,55,110,2.478295,1.3924167,6.267062,8.002915,6.319636,5.3944116,4.5037565,7.377541
Luxembourg,2022,LUX,2,6,5,1,2,0,1.4545455,12.527491,15.13363,8.986879,8.532787,9.62765,3.0822024
Bahrain,2022,BHR,1,7,16,11,,4.265438,1.4747885,11.432055,19.994389,13.701426,19.082533,28.170038,21.69825
Germany,2022,DEU,110,510,410,91,220,2.3663616,1.479208,7.829165,9.461254,6.1573434,4.781888,3.8592527,4.1207614
Spain,2022,ESP,230,100,420,110,170,3.6388125,1.4827932,5.808195,10.681281,8.139765,7.225396,6.766857,7.781879
Latvia,2022,LVA,30,89,56,11,18,2.255478,1.5053138,11.757724,21.00409,23.97746,36.54267,24.940239,15.5754385
Hong Kong,2022,HKG,,,,,190,0.71224815,1.6105576,22.49853,26.336306,28.743216,35.40337,54.360924,122.622314
Togo,2022,TGO,530,490,81,93,820,2.2554893,1.9109302,22.074131,44.541027,74.64102,78.18197,79.12488,83.99666
France,2022,FRA,320,630,710,130,240,4.0770326,2.0503309,10.103942,13.797235,10.132295,6.7911043,6.0052686,5.2868066
Iran,2022,IRN,100,220,500,540,830,3.683617,2.1599424,8.38624,8.65893,9.245529,13.378337,19.820265,41.48161
Egypt,2022,EGY,65,290,980,760,1100,4.4042554,2.18904,9.307075,13.364384,11.991908,13.692456,15.809147,22.926136
